	f4_H	f3_CA	f2_N	f1_CB	C	Intensity
0	7.17	55.43	111.23	64.294	172.5	230492288.0
1	7.17	55.43	111.98	64.294	172.5	286843040.0
2	7.17	55.83	111.23	64.294	172.5	224840560.0
3	7.17	55.83	111.98	64.294	172.5	265706496.0
4	7.17	56.23	110.48	65.79	172.5	229511392.0
5	7.67	53.83	110.48	64.294	172.5	270422336.0
6	7.67	53.83	110.48	65.04	172.5	372591680.0
7	7.67	53.83	110.48	65.79	172.5	275102400.0
8	7.67	53.83	111.23	64.294	172.5	258104256.0
9	7.67	53.83	111.23	65.04	172.5	352984096.0
10	7.67	53.83	111.23	65.79	172.5	258367536.0
11	7.67	53.83	111.98	62.79	172.5	218305216.0
12	7.67	53.83	111.98	65.04	172.5	268427024.0
13	7.67	53.83	111.98	65.79	172.5	224518640.0
14	7.67	54.23	110.48	64.294	172.5	280649216.0
15	7.67	54.23	110.48	65.04	172.5	328514496.0
16	7.67	54.23	110.48	65.79	172.5	230315376.0
17	7.67	54.23	111.23	64.294	172.5	261309760.0
18	7.67	54.23	111.23	65.04	172.5	297358848.0
19	7.67	54.23	111.98	62.79	172.5	215455984.0
20	7.67	54.23	111.98	63.54	172.5	299994336.0
21	7.67	54.23	111.98	64.294	172.5	261479744.0
22	7.67	54.23	111.98	65.04	172.5	226734752.0
23	7.67	54.23	112.726	63.54	172.5	287645760.0
24	7.67	54.23	112.726	64.294	172.5	222980432.0
25	7.67	54.23	114.98	63.54	172.5	223994512.0
26	7.67	54.63	110.48	63.54	172.5	238814928.0
27	7.67	54.63	110.48	64.294	172.5	360233376.0
28	7.67	54.63	110.48	65.04	172.5	307843904.0
29	7.67	54.63	110.48	65.79	172.5	256508208.0
30	7.67	54.63	111.23	63.54	172.5	241549712.0
31	7.67	54.63	111.23	64.294	172.5	339595488.0
32	7.67	54.63	111.23	65.04	172.5	277248320.0
33	7.67	54.63	111.23	65.79	172.5	223935248.0
34	7.67	54.63	111.98	62.79	172.5	238864096.0
