	f4_H	f3_CA	f2_N	f1_CB	C	Intensity
0	7.85	47.547	116.669	47.547	173.222	1038369400.0
1	8.25	46.75	114.42	46.8	173.222	1095313200.0
2	8.25	46.75	115.92	46.8	173.222	1054312700.0
3	8.25	46.75	116.669	46.8	173.222	1047301300.0
4	8.25	46.75	117.42	46.8	173.222	1092332000.0
5	8.25	46.75	117.42	47.547	173.222	1019839360.0
6	8.25	47.15	114.42	46.8	173.222	1281028400.0
7	8.25	47.15	114.42	47.547	173.222	1673351400.0
8	8.25	47.15	115.17	46.8	173.222	1119504400.0
9	8.25	47.15	115.17	47.547	173.222	1628366500.0
10	8.25	47.15	115.92	46.8	173.222	1218001000.0
11	8.25	47.15	115.92	47.547	173.222	1843184500.0
12	8.25	47.15	116.669	46.8	173.222	1326643200.0
13	8.25	47.15	116.669	47.547	173.222	2209998800.0
14	8.25	47.15	117.42	46.8	173.222	1290246500.0
15	8.25	47.15	117.42	47.547	173.222	2017596400.0
16	8.25	47.15	118.17	46.8	173.222	1156330100.0
17	8.25	47.15	118.17	47.547	173.222	1349497100.0
18	8.25	47.547	114.42	47.547	173.222	2004781400.0
19	8.25	47.547	115.17	47.547	173.222	2085457700.0
20	8.25	47.547	115.17	48.3	173.222	1109438600.0
21	8.25	47.547	115.92	47.547	173.222	2403734500.0
22	8.25	47.547	115.92	48.3	173.222	1530375400.0
23	8.25	47.547	116.669	46.8	173.222	1043173000.0
24	8.25	47.547	116.669	47.547	173.222	2968287000.0
25	8.25	47.547	116.669	48.3	173.222	2054866000.0
26	8.25	47.547	117.42	47.547	173.222	2578304500.0
27	8.25	47.547	117.42	48.3	173.222	1636065200.0
28	8.25	47.547	118.17	47.547	173.222	1819526100.0
29	8.25	47.547	118.17	48.3	173.222	1099207000.0
30	8.25	47.547	118.92	47.547	173.222	1292540300.0
31	8.25	47.95	114.42	47.547	173.222	1321005200.0
32	8.25	47.95	114.42	48.3	173.222	1196676200.0
33	8.25	47.95	115.17	47.547	173.222	1485800700.0
34	8.25	47.95	115.17	48.3	173.222	1387574300.0
35	8.25	47.95	115.92	47.547	173.222	1842780000.0
36	8.25	47.95	115.92	48.3	173.222	2164153900.0
37	8.25	47.95	116.669	47.547	173.222	2248038100.0
38	8.25	47.95	116.669	48.3	173.222	2785263600.0
39	8.25	47.95	117.42	47.547	173.222	2065481700.0
40	8.25	47.95	117.42	48.3	173.222	2547403800.0
41	8.25	47.95	118.17	47.547	173.222	1607132200.0
42	8.25	47.95	118.17	48.3	173.222	1904062800.0
43	8.25	47.95	118.92	47.547	173.222	1086942000.0
44	8.25	47.95	118.92	48.3	173.222	1135355100.0
45	8.25	48.35	115.17	48.3	173.222	1073047230.0
46	8.25	48.35	115.92	48.3	173.222	1709870500.0
47	8.25	48.35	116.669	48.3	173.222	1970752900.0
48	8.25	48.35	117.42	47.547	173.222	1064940400.0
49	8.25	48.35	117.42	48.3	173.222	2023384800.0
50	8.25	48.35	118.17	48.3	173.222	1795891600.0
51	8.25	48.35	118.92	48.3	173.222	1253938000.0
52	8.648	46.35	115.92	46.8	173.222	1021419650.0
53	8.648	46.75	114.42	46.8	173.222	1189485300.0
54	8.648	46.75	114.42	47.547	173.222	1033526800.0
55	8.648	46.75	115.17	46.8	173.222	1430093800.0
56	8.648	46.75	115.17	47.547	173.222	1260936700.0
57	8.648	46.75	115.92	46.8	173.222	1619445500.0
58	8.648	46.75	115.92	47.547	173.222	1595804900.0
59	8.648	46.75	116.669	46.8	173.222	1571149300.0
60	8.648	46.75	116.669	47.547	173.222	1920171500.0
61	8.648	46.75	117.42	46.8	173.222	1455956900.0
62	8.648	46.75	117.42	47.547	173.222	1685164000.0
63	8.648	46.75	118.17	46.8	173.222	1151644800.0
64	8.648	46.75	118.17	47.547	173.222	1118642400.0
65	8.648	47.15	114.42	46.8	173.222	1492843900.0
66	8.648	47.15	114.42	47.547	173.222	2361465000.0
67	8.648	47.15	115.17	46.8	173.222	1594705000.0
68	8.648	47.15	115.17	47.547	173.222	2764794600.0
69	8.648	47.15	115.92	46.8	173.222	1931481500.0
70	8.648	47.15	115.92	47.547	173.222	3577126100.0
71	8.648	47.15	116.669	46.8	173.222	2052023400.0
72	8.648	47.15	116.669	47.547	173.222	4532222500.0
73	8.648	47.15	116.669	48.3	173.222	1307552400.0
74	8.648	47.15	117.42	46.8	173.222	1812172900.0
75	8.648	47.15	117.42	47.547	173.222	4028133000.0
76	8.648	47.15	117.42	48.3	173.222	1351731000.0
77	8.648	47.15	118.17	46.8	173.222	1397753700.0
78	8.648	47.15	118.17	47.547	173.222	2641214500.0
79	8.648	47.15	118.92	46.8	173.222	1152276700.0
80	8.648	47.15	118.92	47.547	173.222	1746073200.0
81	8.648	47.547	114.42	46.8	173.222	1193237800.0
82	8.648	47.547	114.42	47.547	173.222	3048633900.0
83	8.648	47.547	114.42	48.3	173.222	1625405800.0
84	8.648	47.547	115.17	46.8	173.222	1166256100.0
85	8.648	47.547	115.17	47.547	173.222	3713788000.0
86	8.648	47.547	115.17	48.3	173.222	1840738300.0
87	8.648	47.547	115.92	46.8	173.222	1518567800.0
88	8.648	47.547	115.92	47.547	173.222	5155995600.0
89	8.648	47.547	115.92	48.3	173.222	2660590600.0
90	8.648	47.547	116.669	46.8	173.222	1797822300.0
91	8.648	47.547	116.669	47.547	173.222	6705320000.0
92	8.648	47.547	116.669	48.3	173.222	3693111600.0
93	8.648	47.547	117.42	46.8	173.222	1522132200.0
94	8.648	47.547	117.42	47.547	173.222	5913075700.0
95	8.648	47.547	117.42	48.3	173.222	3294017300.0
96	8.648	47.547	118.17	46.8	173.222	1133574300.0
97	8.648	47.547	118.17	47.547	173.222	3681628700.0
98	8.648	47.547	118.17	48.3	173.222	1969071000.0
99	8.648	47.547	118.92	47.547	173.222	2308007400.0
