	H	CA	N	CB	C	Intensity
0	7.36	57.6	108.87	69.046	172.12	1205707100.0
1	7.36	57.6	109.621	69.046	172.12	1113656200.0
2	7.36	57.997	108.87	69.046	172.12	1662077800.0
3	7.36	57.997	109.621	69.046	172.12	1674358300.0
4	7.36	58.4	108.87	69.046	172.12	1054122800.0
5	7.36	58.4	109.621	69.046	172.12	1203755100.0
6	7.759	56.8	108.12	69.046	172.12	1202150400.0
7	7.759	56.8	108.87	69.046	172.12	1724235400.0
8	7.759	56.8	109.621	69.046	172.12	2551626200.0
9	7.759	56.8	109.621	69.8	172.12	1319101200.0
10	7.759	56.8	110.37	69.046	172.12	2400851000.0
11	7.759	56.8	110.37	69.8	172.12	1522191400.0
12	7.759	56.8	111.12	69.046	172.12	1178279300.0
13	7.759	57.2	107.37	69.046	172.12	1329084000.0
14	7.759	57.2	108.12	69.046	172.12	1464207100.0
15	7.759	57.2	108.87	69.046	172.12	1564905600.0
16	7.759	57.2	109.621	69.046	172.12	1604450000.0
17	7.759	57.2	110.37	69.046	172.12	1148064800.0
18	7.759	57.6	107.37	69.046	172.12	2310503700.0
19	7.759	57.6	108.12	68.3	172.12	1453543400.0
20	7.759	57.6	108.12	69.046	172.12	3179513600.0
21	7.759	57.6	108.12	69.8	172.12	1586649000.0
22	7.759	57.6	108.87	68.3	172.12	1723220400.0
23	7.759	57.6	108.87	69.046	172.12	4114835000.0
24	7.759	57.6	108.87	69.8	172.12	2187265500.0
25	7.759	57.6	109.621	68.3	172.12	1700000800.0
26	7.759	57.6	109.621	69.046	172.12	4227723000.0
27	7.759	57.6	109.621	69.8	172.12	2239451600.0
28	7.759	57.6	109.621	70.55	172.12	1089776600.0
29	7.759	57.6	110.37	68.3	172.12	1095973100.0
30	7.759	57.6	110.37	69.046	172.12	2423524000.0
31	7.759	57.6	110.37	69.8	172.12	1345668100.0
32	7.759	57.6	111.12	69.046	172.12	1192853000.0
33	7.759	57.997	107.37	69.046	172.12	2291212500.0
34	7.759	57.997	107.37	69.8	172.12	1096076200.0
35	7.759	57.997	108.12	68.3	172.12	1785154400.0
36	7.759	57.997	108.12	69.046	172.12	3884347600.0
37	7.759	57.997	108.12	69.8	172.12	2100450400.0
38	7.759	57.997	108.87	68.3	172.12	2170336800.0
39	7.759	57.997	108.87	69.046	172.12	6218985500.0
40	7.759	57.997	108.87	69.8	172.12	3581703400.0
41	7.759	57.997	108.87	70.55	172.12	1557374800.0
42	7.759	57.997	109.621	68.3	172.12	2230901200.0
43	7.759	57.997	109.621	69.046	172.12	6915439000.0
44	7.759	57.997	109.621	69.8	172.12	3921227500.0
45	7.759	57.997	109.621	70.55	172.12	1712810400.0
46	7.759	57.997	110.37	68.3	172.12	1475360400.0
47	7.759	57.997	110.37	69.046	172.12	3994259700.0
48	7.759	57.997	110.37	69.8	172.12	2313805300.0
49	7.759	57.997	110.37	70.55	172.12	1276057600.0
50	7.759	57.997	111.12	69.046	172.12	1735465900.0
51	7.759	57.997	111.12	69.8	172.12	1061141500.0
52	7.759	58.4	107.37	69.046	172.12	1330898400.0
53	7.759	58.4	108.12	68.3	172.12	1042913600.0
54	7.759	58.4	108.12	69.046	172.12	2325046300.0
55	7.759	58.4	108.12	69.8	172.12	1305456100.0
56	7.759	58.4	108.87	68.3	172.12	1274615400.0
57	7.759	58.4	108.87	69.046	172.12	4372653600.0
58	7.759	58.4	108.87	69.8	172.12	2623725800.0
59	7.759	58.4	108.87	70.55	172.12	1285180000.0
60	7.759	58.4	109.621	68.3	172.12	1296009300.0
61	7.759	58.4	109.621	69.046	172.12	5328332300.0
62	7.759	58.4	109.621	69.8	172.12	3229090600.0
63	7.759	58.4	109.621	70.55	172.12	1529828500.0
64	7.759	58.4	110.37	69.046	172.12	3509589200.0
65	7.759	58.4	110.37	69.8	172.12	2253467100.0
66	7.759	58.4	110.37	70.55	172.12	1407955700.0
67	7.759	58.4	111.12	69.046	172.12	1552410200.0
68	7.759	58.4	111.12	69.8	172.12	1086367000.0
69	7.759	58.8	108.87	69.046	172.12	1495118600.0
70	7.759	58.8	109.621	69.046	172.12	2042171600.0
71	7.759	58.8	109.621	69.8	172.12	1331518500.0
72	7.759	58.8	110.37	69.046	172.12	1617969300.0
73	7.759	58.8	110.37	69.8	172.12	1189028000.0
74	8.16	57.997	108.87	69.046	172.12	1107863900.0
75	8.16	57.997	109.621	69.046	172.12	1306107800.0
76	8.16	58.4	109.621	69.046	172.12	1081956900.0
