	f4	f3	f2	f1	C	Intensity
0	7.522	50.85	121.02	22.366	174.095	514532672.0
1	7.522	50.85	121.77	20.87	174.095	474260576.0
2	7.522	50.85	121.77	21.62	174.095	670035520.0
3	7.522	50.85	121.77	22.366	174.095	936054272.0
4	7.522	50.85	121.77	23.12	174.095	642997440.0
5	7.522	50.85	122.51799999999999	21.62	174.095	653920832.0
6	7.522	50.85	122.51799999999999	22.366	174.095	1283530752.0
7	7.522	50.85	122.51799999999999	23.12	174.095	1008885184.0
8	7.522	50.85	123.27	21.62	174.095	572636160.0
9	7.522	50.85	123.27	22.366	174.095	1259987456.0
10	7.522	50.85	123.27	23.12	174.095	902195712.0
11	7.522	50.85	124.02	22.366	174.095	667041664.0
12	7.522	50.85	124.02	23.12	174.095	634556672.0
13	7.522	51.25	120.27	21.62	174.095	447448480.0
14	7.522	51.25	120.27	22.366	174.095	726011776.0
15	7.522	51.25	121.02	20.87	174.095	450524544.0
16	7.522	51.25	121.02	21.62	174.095	658520384.0
17	7.522	51.25	121.02	22.366	174.095	1330110976.0
18	7.522	51.25	121.02	23.12	174.095	600486016.0
19	7.522	51.25	121.77	20.87	174.095	810098240.0
20	7.522	51.25	121.77	21.62	174.095	1220456448.0
21	7.522	51.25	121.77	22.366	174.095	2405644288.0
22	7.522	51.25	121.77	23.12	174.095	1019323200.0
23	7.522	51.25	122.51799999999999	20.87	174.095	847282304.0
24	7.522	51.25	122.51799999999999	21.62	174.095	1336773248.0
25	7.522	51.25	122.51799999999999	22.366	174.095	3199631360.0
26	7.522	51.25	122.51799999999999	23.12	174.095	1613203072.0
27	7.522	51.25	123.27	20.87	174.095	592585216.0
28	7.522	51.25	123.27	21.62	174.095	982201920.0
29	7.522	51.25	123.27	22.366	174.095	2796656384.0
30	7.522	51.25	123.27	23.12	174.095	1704951424.0
31	7.522	51.25	124.02	21.62	174.095	545721728.0
32	7.522	51.25	124.02	22.366	174.095	1246238208.0
33	7.522	51.25	124.02	23.12	174.095	1188767616.0
34	7.522	51.25	124.77	22.366	174.095	565607808.0
35	7.522	51.25	124.77	23.12	174.095	554754240.0
36	7.522	51.65	120.27	21.62	174.095	459675456.0
37	7.522	51.65	120.27	22.366	174.095	915506880.0
38	7.522	51.65	121.02	21.62	174.095	684487488.0
39	7.522	51.65	121.02	22.366	174.095	1654124928.0
40	7.522	51.65	121.02	23.12	174.095	580561856.0
41	7.522	51.65	121.77	20.87	174.095	794074624.0
42	7.522	51.65	121.77	21.62	174.095	1239174016.0
43	7.522	51.65	121.77	22.366	174.095	3082782464.0
44	7.522	51.65	121.77	23.12	174.095	1049696000.0
45	7.522	51.65	122.51799999999999	20.87	174.095	970278208.0
46	7.522	51.65	122.51799999999999	21.62	174.095	1572695296.0
47	7.522	51.65	122.51799999999999	22.366	174.095	4418061312.0
48	7.522	51.65	122.51799999999999	23.12	174.095	1790986240.0
49	7.522	51.65	123.27	20.87	174.095	704267648.0
50	7.522	51.65	123.27	21.62	174.095	1059618880.0
51	7.522	51.65	123.27	22.366	174.095	3730602240.0
52	7.522	51.65	123.27	23.12	174.095	2039216896.0
53	7.522	51.65	124.02	21.62	174.095	516928064.0
54	7.522	51.65	124.02	22.366	174.095	1501912576.0
55	7.522	51.65	124.02	23.12	174.095	1228643584.0
56	7.522	51.65	124.77	22.366	174.095	596826752.0
57	7.522	51.65	124.77	23.12	174.095	530402336.0
58	7.522	52.053999999999995	120.27	22.366	174.095	598049920.0
59	7.522	52.053999999999995	121.02	22.366	174.095	1007688448.0
60	7.522	52.053999999999995	121.77	21.62	174.095	685192384.0
61	7.522	52.053999999999995	121.77	22.366	174.095	1942757504.0
62	7.522	52.053999999999995	121.77	23.12	174.095	650126784.0
63	7.522	52.053999999999995	122.51799999999999	20.87	174.095	623482944.0
64	7.522	52.053999999999995	122.51799999999999	21.62	174.095	999574400.0
65	7.522	52.053999999999995	122.51799999999999	22.366	174.095	2979550720.0
66	7.522	52.053999999999995	122.51799999999999	23.12	174.095	1180132352.0
67	7.522	52.053999999999995	123.27	20.87	174.095	553886336.0
68	7.522	52.053999999999995	123.27	21.62	174.095	664561536.0
69	7.522	52.053999999999995	123.27	22.366	174.095	2485301760.0
70	7.522	52.053999999999995	123.27	23.12	174.095	1338221568.0
71	7.522	52.053999999999995	124.02	22.366	174.095	972549632.0
72	7.522	52.053999999999995	124.02	23.12	174.095	724829568.0
73	7.522	52.45	121.77	22.366	174.095	594001024.0
74	7.522	52.45	122.51799999999999	22.366	174.095	828326784.0
75	7.522	52.45	123.27	22.366	174.095	652240768.0
76	7.92	50.85	120.27	22.366	174.095	460755936.0
77	7.92	50.85	121.02	21.62	174.095	521018464.0
78	7.92	50.85	121.02	22.366	174.095	452046272.0
79	7.92	50.85	121.77	21.62	174.095	508125696.0
80	7.92	50.85	121.77	22.366	174.095	661901824.0
81	7.92	50.85	121.77	23.12	174.095	529059776.0
82	7.92	50.85	122.51799999999999	20.87	174.095	541467328.0
83	7.92	50.85	122.51799999999999	21.62	174.095	585448640.0
84	7.92	50.85	122.51799999999999	22.366	174.095	879404928.0
85	7.92	50.85	122.51799999999999	23.12	174.095	694275712.0
86	7.92	50.85	123.27	20.87	174.095	669067648.0
87	7.92	50.85	123.27	21.62	174.095	745145152.0
88	7.92	50.85	123.27	22.366	174.095	1178567808.0
89	7.92	50.85	123.27	23.12	174.095	804652480.0
