	f4	f3	f2	f1	C	Intensity
0	7.25	55.43	116.9	64.46	172.355	500613184.0
1	7.65	54.62	116.9	63.71	172.355	699908352.0
2	7.65	54.62	117.65100000000001	63.71	172.355	609428608.0
3	7.65	55.03	115.4	63.71	172.355	612439680.0
4	7.65	55.03	115.4	64.46	172.355	637513728.0
5	7.65	55.03	116.15	63.71	172.355	677968832.0
6	7.65	55.03	116.15	64.46	172.355	578218944.0
7	7.65	55.03	116.9	63.71	172.355	923520192.0
8	7.65	55.03	116.9	64.46	172.355	677118400.0
9	7.65	55.03	117.65100000000001	63.71	172.355	717414016.0
10	7.65	55.03	117.65100000000001	64.46	172.355	547491904.0
11	7.65	55.43	115.4	63.71	172.355	866348736.0
12	7.65	55.43	115.4	64.46	172.355	951844480.0
13	7.65	55.43	116.15	63.71	172.355	974940352.0
14	7.65	55.43	116.15	64.46	172.355	892395008.0
15	7.65	55.43	116.9	62.96	172.355	551999552.0
16	7.65	55.43	116.9	63.71	172.355	1154931328.0
17	7.65	55.43	116.9	64.46	172.355	989376064.0
18	7.65	55.43	117.65100000000001	62.96	172.355	513322912.0
19	7.65	55.43	117.65100000000001	63.71	172.355	918447360.0
20	7.65	55.43	117.65100000000001	64.46	172.355	810226816.0
21	7.65	55.43	118.4	63.71	172.355	596112256.0
22	7.65	55.43	118.4	64.46	172.355	602154816.0
23	7.65	55.825	115.4	63.71	172.355	807651712.0
24	7.65	55.825	115.4	64.46	172.355	893794688.0
25	7.65	55.825	116.15	63.71	172.355	1022176000.0
26	7.65	55.825	116.15	64.46	172.355	962012160.0
27	7.65	55.825	116.9	62.96	172.355	689378816.0
28	7.65	55.825	116.9	63.71	172.355	1290893440.0
29	7.65	55.825	116.9	64.46	172.355	1102318592.0
30	7.65	55.825	117.65100000000001	62.96	172.355	647147840.0
31	7.65	55.825	117.65100000000001	63.71	172.355	1097274624.0
32	7.65	55.825	117.65100000000001	64.46	172.355	927535232.0
33	7.65	55.825	118.4	63.71	172.355	772079552.0
34	7.65	55.825	118.4	64.46	172.355	712281152.0
35	7.65	56.23	115.4	64.46	172.355	639952128.0
36	7.65	56.23	116.15	63.71	172.355	663849856.0
37	7.65	56.23	116.15	64.46	172.355	767496320.0
38	7.65	56.23	116.9	62.96	172.355	616372288.0
39	7.65	56.23	116.9	63.71	172.355	929771840.0
40	7.65	56.23	116.9	64.46	172.355	893305216.0
41	7.65	56.23	117.65100000000001	62.96	172.355	498132320.0
42	7.65	56.23	117.65100000000001	63.71	172.355	806782272.0
43	7.65	56.23	117.65100000000001	64.46	172.355	731188288.0
44	7.65	56.23	118.4	63.71	172.355	651269760.0
45	7.65	56.23	118.4	64.46	172.355	561398464.0
46	7.65	56.62	116.15	64.46	172.355	567207424.0
47	7.65	56.62	116.9	64.46	172.355	633836672.0
48	7.65	57.03	116.9	64.46	172.355	522235136.0
49	8.047	54.62	115.4	62.96	172.355	511106368.0
50	8.047	54.62	115.4	63.71	172.355	844964928.0
51	8.047	54.62	115.4	64.46	172.355	1154244096.0
52	8.047	54.62	116.15	62.96	172.355	534396288.0
53	8.047	54.62	116.15	63.71	172.355	859113408.0
54	8.047	54.62	116.15	64.46	172.355	1224728960.0
55	8.047	54.62	116.9	62.96	172.355	515665472.0
56	8.047	54.62	116.9	63.71	172.355	818089600.0
57	8.047	54.62	116.9	64.46	172.355	1321856384.0
58	8.047	54.62	117.65100000000001	62.96	172.355	656974400.0
59	8.047	54.62	117.65100000000001	63.71	172.355	845244352.0
60	8.047	54.62	117.65100000000001	64.46	172.355	1175984768.0
61	8.047	54.62	118.4	62.96	172.355	548593664.0
