	f4	f3	f2	f1	C	Intensity
0	8.2	52.161	123.82	39.84	173.09599999999998	658009728.0
1	8.2	52.56	123.82	39.84	173.09599999999998	608257216.0
2	8.6	51.36	123.06700000000001	39.84	173.09599999999998	647388800.0
3	8.6	51.36	123.06700000000001	40.595	173.09599999999998	636307968.0
4	8.6	51.36	123.82	39.84	173.09599999999998	704548224.0
5	8.6	51.36	123.82	40.595	173.09599999999998	712713152.0
6	8.6	51.36	123.82	41.34	173.09599999999998	574942720.0
7	8.6	51.36	124.57	39.84	173.09599999999998	627086720.0
8	8.6	51.36	124.57	40.595	173.09599999999998	687363072.0
9	8.6	51.36	124.57	41.34	173.09599999999998	568197952.0
10	8.6	51.76	121.57	40.595	173.09599999999998	612670784.0
11	8.6	51.76	122.32	39.84	173.09599999999998	682052736.0
12	8.6	51.76	122.32	40.595	173.09599999999998	714146688.0
13	8.6	51.76	123.06700000000001	39.84	173.09599999999998	982815616.0
14	8.6	51.76	123.06700000000001	40.595	173.09599999999998	897604224.0
15	8.6	51.76	123.82	39.84	173.09599999999998	1201585920.0
16	8.6	51.76	123.82	40.595	173.09599999999998	1017459328.0
17	8.6	51.76	123.82	41.34	173.09599999999998	692955648.0
18	8.6	51.76	124.57	39.84	173.09599999999998	1140980352.0
19	8.6	51.76	124.57	40.595	173.09599999999998	992854400.0
20	8.6	51.76	124.57	41.34	173.09599999999998	634442112.0
21	8.6	51.76	125.32	39.84	173.09599999999998	699476544.0
22	8.6	51.76	125.32	40.595	173.09599999999998	635618880.0
23	8.6	51.76	125.32	41.34	173.09599999999998	564822016.0
24	8.6	52.161	120.82	40.595	173.09599999999998	555726912.0
25	8.6	52.161	120.82	41.34	173.09599999999998	553527936.0
26	8.6	52.161	120.82	42.09	173.09599999999998	573270656.0
27	8.6	52.161	121.57	39.84	173.09599999999998	554279680.0
28	8.6	52.161	121.57	40.595	173.09599999999998	732358784.0
29	8.6	52.161	121.57	41.34	173.09599999999998	580768896.0
30	8.6	52.161	122.32	39.84	173.09599999999998	712648064.0
31	8.6	52.161	122.32	40.595	173.09599999999998	934956864.0
32	8.6	52.161	122.32	41.34	173.09599999999998	631578432.0
33	8.6	52.161	123.06700000000001	39.84	173.09599999999998	1027705984.0
34	8.6	52.161	123.06700000000001	40.595	173.09599999999998	1126622080.0
35	8.6	52.161	123.06700000000001	41.34	173.09599999999998	641763584.0
36	8.6	52.161	123.82	39.09	173.09599999999998	551970944.0
37	8.6	52.161	123.82	39.84	173.09599999999998	1176347008.0
38	8.6	52.161	123.82	40.595	173.09599999999998	983812864.0
39	8.6	52.161	123.82	41.34	173.09599999999998	590629120.0
40	8.6	52.161	124.57	39.84	173.09599999999998	1213465984.0
41	8.6	52.161	124.57	40.595	173.09599999999998	991055616.0
42	8.6	52.161	124.57	41.34	173.09599999999998	551190080.0
43	8.6	52.161	125.32	39.84	173.09599999999998	756537984.0
44	8.6	52.161	125.32	40.595	173.09599999999998	627705344.0
45	8.6	52.56	120.82	42.09	173.09599999999998	556184000.0
46	8.6	52.56	121.57	40.595	173.09599999999998	591937152.0
47	8.6	52.56	122.32	40.595	173.09599999999998	754073728.0
48	8.6	52.56	122.32	41.34	173.09599999999998	597082944.0
49	8.6	52.56	123.06700000000001	39.84	173.09599999999998	721343040.0
50	8.6	52.56	123.06700000000001	40.595	173.09599999999998	916813504.0
51	8.6	52.56	123.06700000000001	41.34	173.09599999999998	592755712.0
52	8.6	52.56	123.82	39.84	173.09599999999998	730796864.0
53	8.6	52.56	123.82	40.595	173.09599999999998	666356416.0
54	8.6	52.56	124.57	39.84	173.09599999999998	806132544.0
55	8.6	52.56	124.57	40.595	173.09599999999998	711698752.0
56	9.003	51.36	122.32	40.595	173.09599999999998	624146176.0
57	9.003	51.36	123.06700000000001	40.595	173.09599999999998	878957696.0
58	9.003	51.36	123.06700000000001	41.34	173.09599999999998	655048000.0
59	9.003	51.36	123.06700000000001	42.09	173.09599999999998	579914624.0
60	9.003	51.36	123.82	39.84	173.09599999999998	638859136.0
61	9.003	51.36	123.82	40.595	173.09599999999998	731548288.0
62	9.003	51.36	124.57	39.84	173.09599999999998	575814784.0
63	9.003	51.36	124.57	40.595	173.09599999999998	621659392.0
64	9.003	51.36	125.32	39.84	173.09599999999998	676165888.0
65	9.003	51.36	125.32	40.595	173.09599999999998	552588160.0
66	9.003	51.76	120.82	40.595	173.09599999999998	570837120.0
67	9.003	51.76	121.57	39.84	173.09599999999998	612465088.0
68	9.003	51.76	121.57	40.595	173.09599999999998	886128512.0
69	9.003	51.76	121.57	41.34	173.09599999999998	639598848.0
70	9.003	51.76	121.57	42.09	173.09599999999998	579053248.0
71	9.003	51.76	122.32	39.84	173.09599999999998	958215360.0
72	9.003	51.76	122.32	40.595	173.09599999999998	1579298688.0
73	9.003	51.76	122.32	41.34	173.09599999999998	921682752.0
74	9.003	51.76	122.32	42.09	173.09599999999998	627273472.0
75	9.003	51.76	123.06700000000001	39.84	173.09599999999998	1305643904.0
76	9.003	51.76	123.06700000000001	40.595	173.09599999999998	2391360256.0
77	9.003	51.76	123.06700000000001	41.34	173.09599999999998	1260467328.0
78	9.003	51.76	123.06700000000001	42.09	173.09599999999998	811009088.0
79	9.003	51.76	123.82	39.09	173.09599999999998	659573952.0
80	9.003	51.76	123.82	39.84	173.09599999999998	1340005760.0
81	9.003	51.76	123.82	40.595	173.09599999999998	2162389760.0
82	9.003	51.76	123.82	41.34	173.09599999999998	1078368896.0
83	9.003	51.76	123.82	42.09	173.09599999999998	640692864.0
84	9.003	51.76	124.57	39.09	173.09599999999998	612969216.0
85	9.003	51.76	124.57	39.84	173.09599999999998	1019307264.0
86	9.003	51.76	124.57	40.595	173.09599999999998	1463929344.0
87	9.003	51.76	124.57	41.34	173.09599999999998	759800384.0
88	9.003	51.76	125.32	39.84	173.09599999999998	864777472.0
89	9.003	51.76	125.32	40.595	173.09599999999998	1077055360.0
90	9.003	52.161	120.82	40.595	173.09599999999998	726101696.0
91	9.003	52.161	120.82	41.34	173.09599999999998	597569408.0
92	9.003	52.161	120.82	42.09	173.09599999999998	588990912.0
93	9.003	52.161	121.57	39.84	173.09599999999998	727400512.0
