	f4	f3	f2	f1	C	Intensity
0	7.94	58.83	114.57	67.13	174.06	322806912.0
1	7.94	58.83	114.57	67.88	174.06	217065552.0
2	7.94	58.83	114.57	68.63	174.06	237098272.0
3	7.94	58.83	114.57	69.38	174.06	220062960.0
4	7.94	58.83	114.57	70.13	174.06	136788240.0
5	7.94	58.83	115.32	67.13	174.06	279414144.0
6	7.94	58.83	115.32	67.88	174.06	185225024.0
7	7.94	58.83	115.32	68.63	174.06	196209680.0
8	7.94	58.83	115.32	69.38	174.06	187088112.0
9	7.94	58.83	115.32	70.13	174.06	115218376.0
10	7.94	58.83	116.07	67.13	174.06	207903200.0
11	7.94	58.83	116.07	67.88	174.06	155935456.0
12	7.94	58.83	116.07	68.63	174.06	160251216.0
13	7.94	58.83	116.07	69.38	174.06	154683312.0
14	7.94	58.83	116.07	70.13	174.06	101682192.0
15	7.94	58.83	116.819	67.13	174.06	207955904.0
16	7.94	58.83	116.819	67.88	174.06	175605440.0
17	7.94	58.83	116.819	68.63	174.06	163097360.0
18	7.94	58.83	116.819	69.38	174.06	175299040.0
19	7.94	58.83	116.819	70.13	174.06	109096688.0
20	7.94	58.83	117.57	67.13	174.06	187176352.0
21	7.94	58.83	117.57	67.88	174.06	176401280.0
22	7.94	58.83	117.57	68.63	174.06	153679184.0
23	7.94	58.83	117.57	69.38	174.06	185434688.0
24	7.94	58.83	117.57	70.13	174.06	110853568.0
25	7.94	58.83	118.32	67.13	174.06	158228576.0
26	7.94	58.83	118.32	67.88	174.06	151959776.0
27	7.94	58.83	118.32	68.63	174.06	143781712.0
28	7.94	58.83	118.32	69.38	174.06	145301984.0
29	7.94	58.83	118.32	70.13	174.06	113298192.0
30	7.94	58.83	119.07	67.13	174.06	127474032.0
31	7.94	58.83	119.07	67.88	174.06	138448832.0
32	7.94	58.83	119.07	68.63	174.06	141285088.0
33	7.94	58.83	119.07	69.38	174.06	114024608.0
34	7.94	58.83	119.07	70.13	174.06	88581008.0
35	7.94	59.23	114.57	67.13	174.06	200779632.0
36	7.94	59.23	114.57	67.88	174.06	137121680.0
37	7.94	59.23	114.57	68.63	174.06	154667504.0
38	7.94	59.23	114.57	69.38	174.06	153743376.0
39	7.94	59.23	114.57	70.13	174.06	113304912.0
40	7.94	59.23	115.32	67.13	174.06	146792688.0
41	7.94	59.23	115.32	67.88	174.06	128469584.0
42	7.94	59.23	115.32	68.63	174.06	134133416.0
43	7.94	59.23	115.32	69.38	174.06	126500024.0
44	7.94	59.23	115.32	70.13	174.06	95733072.0
45	7.94	59.23	116.07	67.13	174.06	119468304.0
46	7.94	59.23	116.07	67.88	174.06	111649200.0
47	7.94	59.23	116.07	68.63	174.06	107857056.0
48	7.94	59.23	116.07	69.38	174.06	108947120.0
49	7.94	59.23	116.07	70.13	174.06	85534096.0
50	7.94	59.23	116.819	67.13	174.06	143000688.0
51	7.94	59.23	116.819	67.88	174.06	120306312.0
52	7.94	59.23	116.819	68.63	174.06	111169864.0
53	7.94	59.23	116.819	69.38	174.06	112920992.0
54	7.94	59.23	116.819	70.13	174.06	87179048.0
55	7.94	59.23	117.57	67.13	174.06	139231200.0
56	7.94	59.23	117.57	67.88	174.06	119345712.0
57	7.94	59.23	117.57	68.63	174.06	100508016.0
58	7.94	59.23	117.57	69.38	174.06	98903480.0
59	7.94	59.23	117.57	70.13	174.06	78666472.0
60	7.94	59.23	118.32	67.13	174.06	118137424.0
61	7.94	59.23	118.32	67.88	174.06	105387344.0
62	7.94	59.23	118.32	68.63	174.06	92745056.0
63	7.94	59.23	118.32	69.38	174.06	80145600.0
64	7.94	59.23	118.32	70.13	174.06	75107592.0
65	7.94	59.23	119.07	67.13	174.06	74558488.0
66	7.94	59.23	119.07	67.88	174.06	95328688.0
67	7.94	59.23	119.07	68.63	174.06	91100016.0
68	7.94	59.63	114.57	67.13	174.06	115990992.0
69	7.94	59.63	114.57	67.88	174.06	107723672.0
70	7.94	59.63	114.57	68.63	174.06	138578800.0
71	7.94	59.63	114.57	69.38	174.06	149616464.0
72	7.94	59.63	114.57	70.13	174.06	90881184.0
73	7.94	59.63	115.32	67.13	174.06	96744112.0
74	7.94	59.63	115.32	67.88	174.06	115828216.0
75	7.94	59.63	115.32	68.63	174.06	136678192.0
76	7.94	59.63	115.32	69.38	174.06	114798104.0
77	7.94	59.63	115.32	70.13	174.06	78870888.0
78	7.94	59.63	116.07	67.13	174.06	70437536.0
79	7.94	59.63	116.07	67.88	174.06	99422312.0
80	7.94	59.63	116.07	68.63	174.06	105387632.0
81	7.94	59.63	116.07	69.38	174.06	92039752.0
82	7.94	59.63	116.07	70.13	174.06	70359704.0
83	7.94	59.63	116.819	67.13	174.06	75952720.0
84	7.94	59.63	116.819	67.88	174.06	113750008.0
85	7.94	59.63	116.819	68.63	174.06	114137088.0
86	7.94	59.63	116.819	69.38	174.06	97061840.0
87	7.94	59.63	116.819	70.13	174.06	76834928.0
88	7.94	59.63	117.57	67.13	174.06	86275080.0
89	7.94	59.63	117.57	67.88	174.06	133759752.0
90	7.94	59.63	117.57	68.63	174.06	110876776.0
91	7.94	59.63	117.57	69.38	174.06	96954568.0
92	7.94	59.63	117.57	70.13	174.06	78429952.0
93	7.94	59.63	118.32	67.13	174.06	79277112.0
94	7.94	59.63	118.32	67.88	174.06	124706264.0
95	7.94	59.63	118.32	68.63	174.06	101242584.0
96	7.94	59.63	118.32	69.38	174.06	83316880.0
97	7.94	59.63	118.32	70.13	174.06	74885080.0
98	7.94	59.63	119.07	67.88	174.06	85391224.0
99	7.94	59.63	119.07	68.63	174.06	91821312.0
100	7.94	60.027	114.57	67.13	174.06	121003344.0
101	7.94	60.027	114.57	67.88	174.06	101122264.0
102	7.94	60.027	114.57	68.63	174.06	145213936.0
103	7.94	60.027	114.57	69.38	174.06	141356272.0
104	7.94	60.027	114.57	70.13	174.06	75145296.0
105	7.94	60.027	115.32	67.13	174.06	104287792.0
106	7.94	60.027	115.32	67.88	174.06	103500496.0
107	7.94	60.027	115.32	68.63	174.06	135848400.0
108	7.94	60.027	115.32	69.38	174.06	99914824.0
109	7.94	60.027	116.07	67.88	174.06	88961184.0
110	7.94	60.027	116.07	68.63	174.06	89890272.0
111	7.94	60.027	116.07	69.38	174.06	72304112.0
112	7.94	60.027	116.819	67.13	174.06	76467752.0
113	7.94	60.027	116.819	67.88	174.06	120981480.0
114	7.94	60.027	116.819	68.63	174.06	101486008.0
115	7.94	60.027	116.819	69.38	174.06	87200352.0
116	7.94	60.027	116.819	70.13	174.06	70370416.0
117	7.94	60.027	117.57	67.13	174.06	109650128.0
118	7.94	60.027	117.57	67.88	174.06	168989600.0
119	7.94	60.027	117.57	68.63	174.06	106199944.0
120	7.94	60.027	117.57	69.38	174.06	96858448.0
121	7.94	60.027	117.57	70.13	174.06	76466888.0
122	7.94	60.027	118.32	67.13	174.06	92641472.0
123	7.94	60.027	118.32	67.88	174.06	138970912.0
124	7.94	60.027	118.32	68.63	174.06	95853504.0
125	7.94	60.027	118.32	69.38	174.06	80198704.0
126	7.94	60.027	118.32	70.13	174.06	71204768.0
127	7.94	60.027	119.07	67.88	174.06	88194544.0
128	7.94	60.027	119.07	68.63	174.06	90074568.0
129	7.94	60.43	114.57	67.13	174.06	112360696.0
130	7.94	60.43	114.57	67.88	174.06	87510192.0
131	7.94	60.43	114.57	68.63	174.06	134761504.0
132	7.94	60.43	114.57	69.38	174.06	111284624.0
133	7.94	60.43	115.32	67.13	174.06	91005448.0
134	7.94	60.43	115.32	67.88	174.06	87253056.0
135	7.94	60.43	115.32	68.63	174.06	123899808.0
136	7.94	60.43	115.32	69.38	174.06	95095920.0
137	7.94	60.43	116.07	67.13	174.06	75983744.0
138	7.94	60.43	116.07	67.88	174.06	84692456.0
139	7.94	60.43	116.07	68.63	174.06	79298216.0
140	7.94	60.43	116.07	69.38	174.06	73465560.0
141	7.94	60.43	116.819	67.13	174.06	104192248.0
142	7.94	60.43	116.819	67.88	174.06	109590640.0
143	7.94	60.43	116.819	68.63	174.06	85519480.0
144	7.94	60.43	116.819	69.38	174.06	89327488.0
145	7.94	60.43	116.819	70.13	174.06	72023656.0
146	7.94	60.43	117.57	67.13	174.06	131806768.0
147	7.94	60.43	117.57	67.88	174.06	143377472.0
148	7.94	60.43	117.57	68.63	174.06	84291688.0
149	7.94	60.43	117.57	69.38	174.06	94280072.0
150	7.94	60.43	117.57	70.13	174.06	74978864.0
151	7.94	60.43	118.32	67.13	174.06	107881688.0
152	7.94	60.43	118.32	67.88	174.06	104987968.0
153	7.94	60.43	118.32	68.63	174.06	73282312.0
154	7.94	60.43	118.32	69.38	174.06	78721488.0
155	7.94	60.43	118.32	70.13	174.06	68005880.0
156	7.94	60.43	119.07	67.88	174.06	70077160.0
157	7.94	60.43	119.07	68.63	174.06	71468192.0
158	7.94	60.83	114.57	67.13	174.06	114917808.0
159	7.94	60.83	114.57	67.88	174.06	95481472.0
160	7.94	60.83	114.57	68.63	174.06	126456416.0
161	7.94	60.83	114.57	69.38	174.06	76628192.0
162	7.94	60.83	115.32	67.13	174.06	101456800.0
163	7.94	60.83	115.32	67.88	174.06	93618648.0
164	7.94	60.83	115.32	68.63	174.06	134928368.0
165	7.94	60.83	115.32	69.38	174.06	85827808.0
166	7.94	60.83	116.07	67.13	174.06	83153504.0
167	7.94	60.83	116.07	67.88	174.06	79659336.0
168	7.94	60.83	116.07	68.63	174.06	75027808.0
169	7.94	60.83	116.819	67.13	174.06	88621504.0
170	7.94	60.83	116.819	67.88	174.06	88271520.0
171	7.94	60.83	116.819	68.63	174.06	75017000.0
172	7.94	60.83	116.819	69.38	174.06	75490840.0
173	7.94	60.83	117.57	67.13	174.06	110118856.0
174	7.94	60.83	117.57	67.88	174.06	95455304.0
175	7.94	60.83	117.57	68.63	174.06	76220264.0
