	f4	f3	f2	f1	C	Intensity
0	6.4	42.9	109.43	43.304	171.8	1873919500.0
1	6.4	42.9	110.183	43.304	171.8	2177451300.0
2	6.4	43.304	108.68	43.304	171.8	1807952500.0
3	6.4	43.304	109.43	43.304	171.8	2854168800.0
4	6.4	43.304	110.183	43.304	171.8	3598459600.0
5	6.4	43.304	110.183	44.05	171.8	1527867400.0
6	6.4	43.304	110.93	43.304	171.8	2625192200.0
7	6.4	43.7	109.43	43.304	171.8	1914381000.0
8	6.4	43.7	110.183	43.304	171.8	2562602800.0
9	6.4	43.7	110.183	44.05	171.8	1989762600.0
10	6.4	43.7	110.93	43.304	171.8	1975508400.0
11	6.4	43.7	110.93	44.05	171.8	1707334300.0
12	6.805	42.5	110.183	43.304	171.8	1567211900.0
13	6.805	42.9	107.93	43.304	171.8	1650485100.0
14	6.805	42.9	108.68	43.304	171.8	3015325700.0
15	6.805	42.9	109.43	42.55	171.8	2260165400.0
16	6.805	42.9	109.43	43.304	171.8	4970723000.0
17	6.805	42.9	110.183	42.55	171.8	2410403300.0
18	6.805	42.9	110.183	43.304	171.8	5799445500.0
19	6.805	42.9	110.93	42.55	171.8	1679136300.0
20	6.805	42.9	110.93	43.304	171.8	4002456600.0
21	6.805	42.9	111.68	43.304	171.8	1840556800.0
22	6.805	43.304	107.93	43.304	171.8	2778890200.0
23	6.805	43.304	108.68	43.304	171.8	4598837000.0
24	6.805	43.304	108.68	44.05	171.8	1936913400.0
25	6.805	43.304	109.43	42.55	171.8	2130917900.0
26	6.805	43.304	109.43	43.304	171.8	8024581000.0
27	6.805	43.304	109.43	44.05	171.8	3351339300.0
28	6.805	43.304	110.183	42.55	171.8	2466011400.0
29	6.805	43.304	110.183	43.304	171.8	10058477000.0
30	6.805	43.304	110.183	44.05	171.8	4651689500.0
31	6.805	43.304	110.93	42.55	171.8	1783892600.0
32	6.805	43.304	110.93	43.304	171.8	7346514000.0
33	6.805	43.304	110.93	44.05	171.8	3848341000.0
34	6.805	43.304	111.68	43.304	171.8	3451214600.0
35	6.805	43.304	111.68	44.05	171.8	2055046700.0
36	6.805	43.7	107.93	43.304	171.8	2065932800.0
37	6.805	43.7	107.93	44.05	171.8	1768729200.0
38	6.805	43.7	108.68	43.304	171.8	3108086300.0
39	6.805	43.7	108.68	44.05	171.8	2909748500.0
40	6.805	43.7	109.43	43.304	171.8	5599102500.0
41	6.805	43.7	109.43	44.05	171.8	4923051000.0
42	6.805	43.7	110.183	43.304	171.8	7524535000.0
43	6.805	43.7	110.183	44.05	171.8	6815002600.0
44	6.805	43.7	110.93	43.304	171.8	5853990000.0
45	6.805	43.7	110.93	44.05	171.8	6261438500.0
46	6.805	43.7	111.68	43.304	171.8	3122287900.0
47	6.805	43.7	111.68	44.05	171.8	3727151600.0
48	6.805	43.7	112.43	44.05	171.8	1925153700.0
49	6.805	44.1	108.68	44.05	171.8	2261703000.0
50	6.805	44.1	109.43	43.304	171.8	1524831900.0
51	6.805	44.1	109.43	44.05	171.8	3354845000.0
52	6.805	44.1	110.183	43.304	171.8	2076256500.0
53	6.805	44.1	110.183	44.05	171.8	4453690000.0
54	6.805	44.1	110.93	43.304	171.8	1784570400.0
55	6.805	44.1	110.93	44.05	171.8	4352529000.0
56	6.805	44.1	111.68	44.05	171.8	2970584800.0
57	6.805	44.1	112.43	44.05	171.8	1813411100.0
58	7.21	43.304	110.183	43.304	171.8	1861560600.0
59	7.21	43.304	110.93	43.304	171.8	1511799900.0
60	7.21	43.7	110.183	43.304	171.8	1603424900.0
61	7.21	43.7	110.183	44.05	171.8	1557959600.0
62	7.21	43.7	110.93	44.05	171.8	1694472600.0
63	8.0	44.1	107.93	44.05	171.8	1620629400.0
64	8.0	44.1	110.183	44.05	171.8	1591144200.0
65	8.0	44.1	110.93	44.05	171.8	1704929400.0
