	f4	f3	f2	f1	C	Intensity
0	8.27	57.47	118.81	41.333999999999996	172.847	628859328.0
1	8.27	57.47	119.564	41.333999999999996	172.847	661053952.0
2	8.27	57.872	118.81	41.333999999999996	172.847	865868160.0
3	8.27	57.872	118.81	42.08	172.847	704435968.0
4	8.27	57.872	119.564	41.333999999999996	172.847	900020352.0
5	8.27	57.872	119.564	42.08	172.847	712434112.0
6	8.27	57.872	120.31	41.333999999999996	172.847	726541696.0
7	8.27	57.872	120.31	42.08	172.847	803596032.0
8	8.27	57.872	121.06	42.08	172.847	721510464.0
9	8.27	58.27	118.81	41.333999999999996	172.847	744409600.0
10	8.27	58.27	119.564	41.333999999999996	172.847	700452864.0
11	8.27	58.27	120.31	41.333999999999996	172.847	623456000.0
12	8.27	58.27	121.06	42.08	172.847	685597952.0
13	8.668	56.67	119.564	42.08	172.847	683384320.0
14	8.668	56.67	120.31	41.333999999999996	172.847	622911936.0
15	8.668	56.67	120.31	42.08	172.847	664153600.0
16	8.668	57.07	118.06	41.333999999999996	172.847	740737856.0
17	8.668	57.07	118.81	40.58	172.847	652424064.0
18	8.668	57.07	118.81	41.333999999999996	172.847	938323776.0
19	8.668	57.07	118.81	42.08	172.847	888870720.0
20	8.668	57.07	119.564	41.333999999999996	172.847	1237437056.0
21	8.668	57.07	119.564	42.08	172.847	1020628544.0
22	8.668	57.07	120.31	40.58	172.847	666266752.0
23	8.668	57.07	120.31	41.333999999999996	172.847	1127014272.0
24	8.668	57.07	120.31	42.08	172.847	883698304.0
25	8.668	57.07	121.06	41.333999999999996	172.847	722969152.0
26	8.668	57.07	121.06	42.08	172.847	667005696.0
27	8.668	57.47	117.31	40.58	172.847	639588672.0
28	8.668	57.47	117.31	41.333999999999996	172.847	808196864.0
29	8.668	57.47	118.06	39.83	172.847	678966528.0
30	8.668	57.47	118.06	40.58	172.847	958072832.0
31	8.668	57.47	118.06	41.333999999999996	172.847	1293954816.0
32	8.668	57.47	118.06	42.08	172.847	863618688.0
33	8.668	57.47	118.81	39.83	172.847	668346816.0
34	8.668	57.47	118.81	40.58	172.847	1168475136.0
35	8.668	57.47	118.81	41.333999999999996	172.847	1975099648.0
36	8.668	57.47	118.81	42.08	172.847	1641563520.0
37	8.668	57.47	118.81	42.83	172.847	742856064.0
38	8.668	57.47	119.564	39.83	172.847	720229504.0
39	8.668	57.47	119.564	40.58	172.847	1434666752.0
40	8.668	57.47	119.564	41.333999999999996	172.847	2948366848.0
41	8.668	57.47	119.564	42.08	172.847	2166833664.0
42	8.668	57.47	119.564	42.83	172.847	951776256.0
43	8.668	57.47	120.31	39.83	172.847	752318464.0
44	8.668	57.47	120.31	40.58	172.847	1374939008.0
45	8.668	57.47	120.31	41.333999999999996	172.847	2810633984.0
46	8.668	57.47	120.31	42.08	172.847	2156686080.0
47	8.668	57.47	120.31	42.83	172.847	1026006080.0
48	8.668	57.47	121.06	40.58	172.847	728789312.0
49	8.668	57.47	121.06	41.333999999999996	172.847	1567261184.0
50	8.668	57.47	121.06	42.08	172.847	1489664896.0
51	8.668	57.47	121.06	42.83	172.847	900750400.0
52	8.668	57.47	121.81	41.333999999999996	172.847	858782208.0
53	8.668	57.47	121.81	42.08	172.847	906911488.0
54	8.668	57.47	121.81	42.83	172.847	740939008.0
55	8.668	57.872	117.31	40.58	172.847	738054272.0
56	8.668	57.872	117.31	41.333999999999996	172.847	950433472.0
57	8.668	57.872	117.31	42.08	172.847	664557376.0
58	8.668	57.872	118.06	39.83	172.847	791562496.0
59	8.668	57.872	118.06	40.58	172.847	986953408.0
60	8.668	57.872	118.06	41.333999999999996	172.847	1395545984.0
61	8.668	57.872	118.06	42.08	172.847	986131264.0
62	8.668	57.872	118.81	39.83	172.847	769359936.0
63	8.668	57.872	118.81	40.58	172.847	1314469632.0
64	8.668	57.872	118.81	41.333999999999996	172.847	2443250432.0
65	8.668	57.872	118.81	42.08	172.847	2022246656.0
66	8.668	57.872	118.81	42.83	172.847	898101632.0
67	8.668	57.872	119.564	39.83	172.847	1054991680.0
68	8.668	57.872	119.564	40.58	172.847	1999705216.0
69	8.668	57.872	119.564	41.333999999999996	172.847	4149816576.0
70	8.668	57.872	119.564	42.08	172.847	3156773376.0
71	8.668	57.872	119.564	42.83	172.847	1271297024.0
72	8.668	57.872	120.31	39.83	172.847	1031032064.0
73	8.668	57.872	120.31	40.58	172.847	1952550784.0
74	8.668	57.872	120.31	41.333999999999996	172.847	4335023104.0
75	8.668	57.872	120.31	42.08	172.847	3450344192.0
76	8.668	57.872	120.31	42.83	172.847	1285570432.0
77	8.668	57.872	121.06	39.83	172.847	637744000.0
78	8.668	57.872	121.06	40.58	172.847	1031480960.0
79	8.668	57.872	121.06	41.333999999999996	172.847	2512559872.0
80	8.668	57.872	121.06	42.08	172.847	2306640128.0
81	8.668	57.872	121.06	42.83	172.847	1000372224.0
82	8.668	57.872	121.81	41.333999999999996	172.847	1229990784.0
83	8.668	57.872	121.81	42.08	172.847	1239418112.0
84	8.668	57.872	121.81	42.83	172.847	757339520.0
85	8.668	58.27	117.31	41.333999999999996	172.847	795572352.0
86	8.668	58.27	118.06	40.58	172.847	679178304.0
87	8.668	58.27	118.06	41.333999999999996	172.847	1003878720.0
88	8.668	58.27	118.06	42.08	172.847	778918144.0
89	8.668	58.27	118.81	39.83	172.847	629101312.0
90	8.668	58.27	118.81	40.58	172.847	986508736.0
91	8.668	58.27	118.81	41.333999999999996	172.847	1809932032.0
92	8.668	58.27	118.81	42.08	172.847	1516122240.0
93	8.668	58.27	118.81	42.83	172.847	668884608.0
94	8.668	58.27	119.564	39.83	172.847	930984704.0
95	8.668	58.27	119.564	40.58	172.847	1627804928.0
96	8.668	58.27	119.564	41.333999999999996	172.847	3364417536.0
97	8.668	58.27	119.564	42.08	172.847	2610428160.0
98	8.668	58.27	119.564	42.83	172.847	943687552.0
99	8.668	58.27	120.31	39.83	172.847	902267648.0
100	8.668	58.27	120.31	40.58	172.847	1619880960.0
101	8.668	58.27	120.31	41.333999999999996	172.847	3743202560.0
102	8.668	58.27	120.31	42.08	172.847	2923801344.0
103	8.668	58.27	120.31	42.83	172.847	935043840.0
104	8.668	58.27	121.06	40.58	172.847	970695424.0
105	8.668	58.27	121.06	41.333999999999996	172.847	2433328640.0
106	8.668	58.27	121.06	42.08	172.847	1973737216.0
107	8.668	58.27	121.06	42.83	172.847	783160640.0
108	8.668	58.27	121.81	41.333999999999996	172.847	1099631488.0
109	8.668	58.27	121.81	42.08	172.847	1020489152.0
110	8.668	58.67	118.81	41.333999999999996	172.847	955253760.0
111	8.668	58.67	118.81	42.08	172.847	750065472.0
112	8.668	58.67	119.564	40.58	172.847	895651200.0
113	8.668	58.67	119.564	41.333999999999996	172.847	1765596160.0
114	8.668	58.67	119.564	42.08	172.847	1261924992.0
115	8.668	58.67	120.31	40.58	172.847	867022336.0
116	8.668	58.67	120.31	41.333999999999996	172.847	2010796544.0
117	8.668	58.67	120.31	42.08	172.847	1513360640.0
118	8.668	58.67	121.06	40.58	172.847	636787520.0
119	8.668	58.67	121.06	41.333999999999996	172.847	1495739264.0
120	8.668	58.67	121.06	42.08	172.847	1063426304.0
121	8.668	58.67	121.81	41.333999999999996	172.847	680053376.0
122	8.668	59.07	119.564	41.333999999999996	172.847	894760384.0
123	8.668	59.07	120.31	41.333999999999996	172.847	1069568640.0
124	8.668	59.07	120.31	42.08	172.847	851565440.0
125	8.668	59.07	121.06	41.333999999999996	172.847	908235200.0
126	8.668	59.07	121.06	42.08	172.847	673859968.0
127	9.07	57.872	120.31	42.08	172.847	697182592.0
128	9.07	58.27	119.564	41.333999999999996	172.847	661900544.0
129	9.07	58.27	120.31	41.333999999999996	172.847	681333312.0
130	9.07	58.27	120.31	42.08	172.847	655478208.0
